Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124061170042,,,32S-9W-23 / 42.7757 -123.7260,,,H,F,,BLM GRANTS PASS,,,,,,,,,KELSEY-WHISKY-23E   ,14,192,,,0,0,,,0,10/30/2012,08:00
144061170025,,,33S-10W-22 / 42.6883 -123.8690,,,T,F,,BLM GRANTS PASS,,,,,,,,,BIG WINDY 1,1,100,,,0,0,,,0,10/22/2014,10:00
County Total:,,,,,,,,,,,,,,,,,,,15,292,,,,,,,,,
Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124061180001,,,32S-6W-17 / 42.7903 -123.4360,,,H,F,,BLM GLENDALE,,,,,,,,,FIR-POINT-PLOT      ,7,74,,,0,0,,,0,1/20/2012,14:00
124061180004,,,32S-5W-8 / 42.8047 -123.3170,,,H,F,,BLM GLENDALE,,,,,,,,,FORTUNE-RETURN-11   ,30,382,,,0,0,,,0,2/24/2012,10:00
124061180005,,,33S-5W-3 / 42.7320 -123.2790,,,H,F,,BLM GLENDALE,,,,,,,,,TENNESSEE-RIDGE-4   ,35,420,,,0,0,,,0,2/24/2012,12:00
124061180008,,,32S-7W-33 / 42.7470 -123.5350,,,H,F,,BLM GLENDALE,,,,,,,,,MCCULLOUGH-2-A      ,89,900,,,0,0,,,0,11/16/2012,09:00
117120037300,,,33S-9W-5 / 42.7320 -123.7900,,,L,P,,PLUM CREEK TIMBERLANDS  L.P.,,,,,,,,,DITCH CREEK 5,31,112,,,0,0,,,0,11/14/2012,08:00
127120022200,,,33S-9W-5 / 42.7320 -123.7900,,,L,P,,PLUM CREEK TIMBERLANDS  L.P.,,,,,,,,,DITCH CREEK 8,54,158,,,0,0,,,0,11/14/2012,08:00
124061170032,,,32S-7W-10 / 42.8038 -123.5150,,,H,F,,BLM GRANTS PASS,,,,,,,,,REUBEN-17-1         ,10,78,,,0,0,,,0,11/26/2012,08:00
124061170033,,,32S-7W-19 / 42.7756 -123.5740,,,H,F,,BLM GRANTS PASS,,,,,,,,,REUBEN-19-1         ,94,823,,,0,0,,,0,11/26/2012,08:00
124061170034,,,32S-7W-20 / 42.7755 -123.5540,,,H,F,,BLM GRANTS PASS,,,,,,,,,REUBEN-20-1         ,83,627,,,0,0,,,0,11/26/2012,08:00
124061170036,,,32S-5W-12 / 42.8043 -123.2380,,,H,F,,BLM GRANTS PASS,,,,,,,,,AZALEA-PEAK-7       ,12,117,,,0,0,,,0,2/13/2014,08:00
124061170037,,,32S-5W-1 / 42.8188 -123.2380,,,H,F,,BLM GRANTS PASS,,,,,,,,,AZALEA-PEAK-8       ,21,217,,,0,0,,,0,2/13/2014,08:00
124061170038,,,32S-5W-23 / 42.7754 -123.2580,,,H,F,,BLM GRANTS PASS,,,,,,,,,EASTSIDE-23-2       ,10,48,,,0,0,,,5,11/6/2013,09:00
124061170039,,,32S-4W-21 / 42.7777 -123.1820,,,H,F,,BLM GRANTS PASS,,,,,,,,,FIZZLEOUT-1         ,16,159,,,0,0,,,0,1/28/2014,09:00
124061170040,,,32S-5W-17 / 42.7903 -123.3170,,,H,F,,BLM GRANTS PASS,,,,,,,,,FORTUNE-BRANCH-RESTO,4,24,,,0,0,,,0,11/7/2013,13:00
124061170041,,,32S-9W-14 / 42.7901 -123.7260,,,H,F,,BLM GRANTS PASS,,,,,,,,,KELSEY-WHISKY-14A   ,14,180,,,0,0,,,0,10/30/2012,08:00
124061170043,,,32S-4W-17 / 42.7923 -123.2000,,,H,F,,BLM GRANTS PASS,,,,,,,,,KOEHLER-JONES-5A    ,9,76,,,0,0,,,0,11/13/2014,12:00
124061170045,,,32S-5W-17 / 42.7903 -123.3170,,,H,F,,BLM GRANTS PASS,,,,,,,,,WESTSIDE-17-3       ,62,729,,,0,0,,,0,11/14/2012,08:00
124061170046,,,31S-3W-31 / 42.8345 -123.1010,,,H,F,,BLM GRANTS PASS,,,,,,,,,MEADOW-CREEK-4      ,18,119,,,0,0,,,0,2/12/2014,08:00
127300081501,,,32S-5W-31 / 42.7467 -123.3380,,,L,F,,BLM GRANTS PASS,,,,,,,,,SWAMPWOOD-TS        ,120,240,,,0,0,,,0,11/28/2012,09:00
127120025601,,,39S-8W-17 / 42.1767 -123.6710,,,T,F,,BLM GRANTS PASS,,,,,,,,,TENNESSE-LIMETS     ,5,70,,,0,0,,,0,2/7/2014,08:00
127300040701,,,32S-4W-13 / 42.7918 -123.1220,,,R,F,,BLM GRANTS PASS,,,,,,,,,SILVER-HAUCK-ROW-TS ,2,100,,,0,0,,,7,11/9/2012,08:00
127300081502,,,32S-4w-3 / 42.8196 -123.1600,,,T,F,,BLM GRANTS PASS,,,,,,,,,STARVING-COW-TS     ,100,250,,,0,0,,,0,11/16/2012,09:00
127307066501,,,32S-4W-28 / 42.7632 -123.1820,,,L,F,,BLM GRANTS PASS,,,,,,,,,SLIM-TS             ,25,70,,,0,0,,,0,11/15/2013,10:00
127307066501,,,32S-4W-28 / 42.7632 -123.1820,,,L,F,,BLM GRANTS PASS,,,,,,,,,SLIM-TS             ,20,45,,,0,0,,,0,11/28/2012,12:00
134061170017,,,33S-5W-3 / 42.7320 -123.2790,,,H,F,,BLM GRANTS PASS,,,,,,,,,EASTSIDE-3-3A       ,49,412,,,0,0,,,0,11/19/2013,08:00
134061170018,,,33S-5W-3 / 42.7320 -123.2790,,,H,F,,BLM GRANTS PASS,,,,,,,,,EASTSIDE-3-3B       ,55,429,,,0,0,,,0,11/19/2013,10:00
134061170019,,,32S-5W-13 / 42.7898 -123.2380,,,H,F,,BLM GRANTS PASS,,,,,,,,,EASTSIDE-13-1       ,92,673,,,0,0,,,0,11/20/2013,08:00
134061170020,,,32S-5W-27 / 42.7610 -123.2780,,,H,F,,BLM GRANTS PASS,,,,,,,,,EASTSIDE-27-2       ,14,108,,,0,0,,,0,11/20/2013,08:00
137300081501,,,32S-5W-31 / 42.7467 -123.3380,,,L,F,,BLM GRANTS PASS,,,,,,,,,SWAMPWOOD-TS        ,5,205,,,0,0,,,30,11/15/2013,13:00
137300081502,,,32S-4W-3 / 42.8196 -123.1600,,,L,F,,BLM GRANTS PASS,,,,,,,,,STARVING-COW-TS     ,5,100,,,0,0,,,1,2/3/2015,10:00
127120039700,,,32S-6W-10 / 42.8046 -123.3970,,,L,S,,DEPT OF FORESTRY: SOUTHWEST,,,,,,,,,NORTH WOODS CREEK,52,52,,,0,0,,,0,11/7/2013,09:00
144061170001,,,32S-4W-7 / 42.8045 -123.2190,,,H,F,,BLM GRANTS PASS,,,,,,,,,AZALEA-PEAK-10      ,12,115,,,0,0,,,0,2/12/2012,08:00
144061170007,,,32S-5W-1 / 42.8188 -123.2380,,,H,F,,BLM GRANTS PASS,,,,,,,,,EASTSIDE-1-1A       ,72,518,,,0,0,,,0,10/28/2014,08:00
144061170008,,,32S-5W-27 / 42.7610 -123.2780,,,H,F,,BLM GRANTS PASS,,,,,,,,,EASTSIDE-27-1       ,20,103,,,0,0,,,0,10/28/2014,11:00
144061170009,,,31S-4W-32 / 42.8337 -123.1990,,,H,F,,BLM GRANTS PASS,,,,,,,,,EASTSIDE-32-1       ,49,353,,,0,0,,,0,10/28/2014,11:00
144061170015,,,32S-6W-1 / 42.8189 -123.3580,,,H,F,,BLM GRANTS PASS,,,,,,,,,LAWSON-1-2          ,9,22,,,0,0,,,0,11/22/2014,08:00
144061170016,,,32S-6W-1 / 42.8189 -123.3580,,,H,F,,BLM GRANTS PASS,,,,,,,,,LAWSON-1-1LC        ,20,132,,,0,0,,,0,11/22/2014,08:00
144061170017,,,32S-6W-1 / 42.8189 -123.3580,,,H,F,,BLM GRANTS PASS,,,,,,,,,LAWSON-1-1LD        ,9,32,,,0,0,,,0,11/22/2014,08:00
144061170019,,,33S-7W-1 / 42.7319 -123.4750,,,H,F,,BLM GRANTS PASS,,,,,,,,,RATTLESNAKE-1-2R    ,38,150,,,0,0,,,0,11/22/2014,12:00
144061170020,,,33S-7W-1 / 42.7319 -123.4750,,,H,F,,BLM GRANTS PASS,,,,,,,,,RATTLESNAKE-1-3R    ,10,506,,,0,0,,,0,11/22/2014,12:00
144061170020,,,33S-7W-1 / 42.7319 -123.4750,,,H,F,,BLM GRANTS PASS,,,,,,,,,RATTLESNAKE-1-3R    ,13,506,,,0,0,,,8,12/5/2014,09:00
